site	variety	x	y
Morris	Manchuria	34.36666	27.43334
Morris	No. 475	44.23333	22.6
Morris	Svansota	35.03333	25.76667
Morris	Peatland	43.2	29.86667
University Farm	No. 462	25.56667	36.6
University Farm	Svansota	27.43334	35.13333
Duluth	No. 475	27.36667	33.06666
Crookston	Peatland	25.23333	41.6
Grand Rapids	Peatland	26.76667	34.7
Duluth	Svansota	22.23333	25.7
University Farm	Glabron	36.8	43.06666
Grand Rapids	No. 475	15.23333	19.7
Morris	Wisconsin No. 38	47.16667	29.46667
Grand Rapids	No. 462	19.9	24.93334
Waseca	No. 462	44.7	65.7667
Duluth	Peatland	31.36667	32
Waseca	No. 475	41.26667	46.76667
Grand Rapids	Glabron	14.43333	29.13333
Crookston	Svansota	20.63333	40.46667
Morris	Glabron	35.13333	28.76667
Crookston	Velvet	32.06666	41.33333
Waseca	Wisconsin No. 38	58.16667	58.8
Crookston	Glabron	26.16667	38.13333
Grand Rapids	Wisconsin No. 38	20.66667	34.46667
Waseca	Trebi	49.2333	63.8333
Duluth	Trebi	30.6	33.93333
Grand Rapids	Velvet	32.23333	23.03333
Crookston	No. 457	34.33333	45.66667
Crookston	Wisconsin No. 38	35.9	49.86667
Morris	No. 462	47	30.36667
Morris	Trebi	46.63333	43.76667
Crookston	No. 475	32.13333	44.1
University Farm	Velvet	26.8	39.9
Waseca	Velvet	37.4	50.23333
Waseca	Manchuria	33.46667	48.86667
University Farm	No. 457	26.43334	43.26667
Morris	Velvet	38.83333	26.13333
Waseca	Glabron	37.73333	55.2
Duluth	Manchuria	22.56667	28.96667
Duluth	No. 462	22.5	28.1
Duluth	Velvet	22.46667	26.3
Crookston	Trebi	41.83333	46.93333
Grand Rapids	No. 457	19.46667	32.16667
Waseca	No. 457	42.2	58.1
Duluth	Glabron	25.86667	29.66667
University Farm	Wisconsin No. 38	38	39.3
Duluth	Wisconsin No. 38	29.33333	31.6
Crookston	Manchuria	32.96667	39.93333
Waseca	Peatland	36.03333	48.56666
Morris	No. 457	43.53334	28.7
Duluth	No. 457	22.7	33.6
Grand Rapids	Manchuria	22.13333	32.96667
University Farm	Trebi	29.06667	36.56666
University Farm	No. 475	30	24.66667
Crookston	No. 462	30.53333	48.56666
University Farm	Peatland	28.06667	32.76667
Waseca	Svansota	38.5	47.33333
Grand Rapids	Svansota	16.63333	29.66667
University Farm	Manchuria	26.9	27
Grand Rapids	Trebi	20.63333	29.76667
